0.000,356,96
0.042,356,96
0.083,356,96
0.125,356,96
0.167,356,96
0.209,356,96
0.250,356,96
0.292,356,96
0.334,356,96
0.375,356,96
0.417,356,96
0.459,356,96
0.501,356,96
0.542,356,96
0.584,356,96
0.626,356,96
0.667,356,96
0.709,356,96
0.751,356,96
0.792,356,96
0.834,356,96
0.876,356,96
0.918,356,96
0.959,356,96
1.001,356,96
1.043,356,96
1.084,356,96
1.126,356,96
1.168,356,96
1.210,356,96
1.251,356,96
1.293,356,96
1.335,356,96
1.376,356,96
1.418,356,96
1.460,356,96
1.502,356,96
1.543,356,96
1.585,356,96
1.627,356,96
1.668,356,96
1.710,356,96
1.752,356,96
1.793,356,96
1.835,356,96
1.877,356,96
1.919,356,96
1.960,356,96
2.002,356,96
2.044,356,96
2.085,356,96
2.127,356,96
2.169,356,96
2.211,356,96
2.252,356,96
2.294,356,96
2.336,356,96
2.377,356,96
2.419,356,96
2.461,356,96
2.503,356,96
2.544,356,96
2.586,356,96
2.628,356,96
2.669,356,96
2.711,356,96
2.753,356,96
2.794,356,96
2.836,356,96
2.878,356,96
2.920,356,96
2.961,356,96
3.003,356,96
3.045,356,96
3.086,356,96
3.128,356,96
3.170,356,96
3.212,356,96
3.253,356,96
3.295,356,96
3.337,356,96
3.378,356,96
3.420,356,96
3.462,356,96
3.504,356,96
3.545,356,96
3.587,356,96
3.629,356,96
3.670,356,96
3.712,356,96
3.754,356,96
3.795,356,96
3.837,356,96
3.879,356,96
3.921,356,96
3.962,356,96
4.004,356,96
4.046,356,96
4.087,356,96
4.129,356,96
4.171,356,96
4.213,356,96
4.254,356,96
4.296,356,96
4.338,356,96
4.379,356,96
4.421,356,96
4.463,356,96
4.505,356,96
4.546,356,96
4.588,356,96
4.630,356,96
4.671,356,96
4.713,356,96
4.755,356,96
4.796,356,96
4.838,356,96
4.880,356,96
4.922,356,96
4.963,356,96
5.005,356,96
5.047,356,96
5.088,356,96
5.130,356,96
5.172,356,96
5.214,356,96
5.255,356,96
5.297,356,96
5.339,356,96
5.380,356,96
5.422,356,96
5.464,356,96
5.506,356,96
5.547,356,96
5.589,356,96
5.631,356,96
5.672,356,96
5.714,356,96
5.756,356,96
5.797,356,96
5.839,356,96
5.881,356,96
5.923,356,96
5.964,356,96
6.006,356,96
6.048,356,96
6.089,356,96
6.131,356,96
6.173,356,96
6.215,356,96
6.256,356,96
6.298,356,96
6.340,356,96
6.381,356,96
6.423,356,96
6.465,356,96
6.507,356,96
6.548,356,96
6.590,356,96
6.632,356,96
6.673,356,96
6.715,356,96
6.757,356,96
6.798,356,96
6.840,356,96
6.882,356,96
6.924,356,96
6.965,356,96
7.007,356,96
7.049,356,96
7.090,356,96
7.132,356,96
7.174,356,96
7.216,356,96
7.257,356,96
7.299,356,96
7.341,356,96
7.382,356,96
7.424,356,96
7.466,356,96
7.508,356,96
7.549,356,96
7.591,356,96
7.633,356,96
7.674,356,96
7.716,356,96
7.758,356,96
7.799,356,96
7.841,356,96
7.883,356,96
